,kohde,jasen,pvknro,sp,ASALUE,IKAL1,A1,A2,A3,A4,A5,IKAL1_group
254,50693,1,1,1,2.0,20,180,600,0,0,1.0,3
255,50693,1,2,1,2.0,20,430,480,0,0,1.0,3
256,50697,1,1,2,1.0,51,330,270,20,100,1.0,6
257,50697,1,2,2,1.0,51,500,280,41,0,1.0,6
260,50731,1,1,2,2.0,61,0,590,0,0,2.0,7
261,50731,1,2,2,2.0,61,430,610,0,108,2.0,7
262,50734,2,1,2,1.0,64,420,470,110,0,2.0,7
263,50734,2,2,2,1.0,64,0,460,175,0,2.0,7
264,50740,1,1,2,2.0,61,320,450,30,0,1.0,7
265,50740,1,2,2,2.0,61,140,480,62,0,1.0,7
266,50756,2,1,1,1.0,29,0,590,20,70,1.0,4
267,50756,2,2,1,1.0,29,0,550,0,84,1.0,4
268,50763,2,1,2,1.0,68,0,550,120,0,1.0,8
269,50763,2,2,2,1.0,68,0,550,196,0,1.0,8
270,50764,1,1,2,1.0,32,460,550,40,70,1.0,4
271,50764,1,2,2,1.0,32,0,420,113,144,1.0,4
272,50766,1,1,1,1.0,80,0,540,20,0,1.0,9
273,50766,1,2,1,1.0,80,0,580,0,108,1.0,9
274,50768,2,1,2,3.0,37,310,455,10,0,1.0,5
275,50768,2,2,2,3.0,37,0,535,21,120,1.0,5
281,50795,2,1,2,1.0,27,300,510,0,70,2.0,4
282,50795,2,2,2,1.0,27,0,560,41,0,2.0,4
283,50800,1,1,1,2.0,37,0,760,0,100,2.0,5
284,50800,1,2,1,2.0,37,630,560,0,108,2.0,5
285,50801,2,1,1,2.0,43,500,390,0,0,1.0,5
286,50801,2,2,1,2.0,43,0,620,124,0,1.0,5
287,50803,1,1,1,1.0,59,0,500,170,0,1.0,7
288,50803,1,2,1,1.0,59,0,590,144,0,1.0,7
289,50811,1,1,2,1.0,60,400,480,0,0,2.0,7
290,50811,1,2,2,1.0,60,0,620,52,84,2.0,7
291,50815,2,1,1,1.0,52,0,450,50,0,2.0,6
292,50815,2,2,1,1.0,52,0,490,72,0,2.0,6
293,50826,1,1,2,1.0,55,0,580,110,100,1.0,7
294,50826,1,2,2,1.0,55,0,570,93,108,1.0,7
295,50834,2,1,2,1.0,55,300,310,30,0,2.0,7
296,50834,2,2,2,1.0,55,400,410,52,0,2.0,7
297,50844,1,1,1,1.0,63,0,550,360,0,2.0,7
298,50844,1,2,1,1.0,63,0,480,371,0,2.0,7
299,50846,1,1,1,1.0,22,0,430,0,0,1.0,3
300,50846,1,2,1,1.0,22,0,580,0,96,1.0,3
301,50860,1,1,1,1.0,59,0,510,40,0,1.0,7
302,50860,1,2,1,1.0,59,0,530,52,0,1.0,7
303,50861,1,1,2,3.0,48,0,465,140,0,1.0,6
304,50861,1,2,2,3.0,48,440,485,52,0,1.0,6
305,50867,1,1,2,1.0,58,0,520,90,0,1.0,7
306,50867,1,2,2,1.0,58,300,460,21,108,1.0,7
309,50869,1,1,1,2.0,48,0,240,0,100,2.0,6
310,50869,1,2,1,2.0,48,420,510,0,96,2.0,6
311,50875,1,1,1,1.0,83,0,520,0,0,1.0,9
312,50875,1,2,1,1.0,83,0,550,10,0,1.0,9
313,50877,2,1,2,3.0,25,610,525,10,80,1.0,4
314,50877,2,2,2,3.0,25,0,555,0,0,1.0,4
317,50901,1,1,1,1.0,69,0,640,130,0,2.0,8
318,50901,1,2,1,1.0,69,0,510,165,0,2.0,8
321,50919,2,1,1,1.0,53,390,490,0,0,1.0,6
322,50919,2,2,1,1.0,53,0,460,93,96,1.0,6
323,50926,1,1,2,3.0,55,0,615,90,70,1.0,7
324,50926,1,2,2,3.0,55,0,525,41,0,1.0,7
325,50928,1,1,1,2.0,56,0,510,0,130,2.0,7
326,50928,1,2,1,2.0,56,0,570,0,144,2.0,7
329,50931,1,1,1,3.0,70,0,635,60,0,2.0,8
330,50931,1,2,1,3.0,70,0,635,62,168,2.0,8
331,50953,2,1,2,1.0,28,0,540,0,0,1.0,4
332,50953,2,2,2,1.0,28,460,490,0,0,1.0,4
333,50960,1,1,1,1.0,54,470,470,30,80,1.0,6
334,50960,1,2,1,1.0,54,0,730,134,0,1.0,6
335,50961,1,1,2,1.0,30,0,500,0,130,1.0,4
336,50961,1,2,2,1.0,30,0,380,31,0,1.0,4
337,50962,1,1,1,3.0,63,0,475,0,0,2.0,7
338,50962,1,2,1,3.0,63,0,525,82,0,2.0,7
341,50968,1,1,1,1.0,39,0,580,40,0,2.0,5
342,50968,1,2,1,1.0,39,500,410,31,0,2.0,5
343,50973,2,1,2,1.0,26,480,480,10,80,1.0,4
344,50973,2,2,2,1.0,26,170,610,124,72,1.0,4
345,50977,1,1,2,1.0,80,0,630,90,70,1.0,9
346,50977,1,2,2,1.0,80,0,710,62,96,1.0,9
347,50982,2,1,1,1.0,72,0,490,240,70,1.0,8
348,50982,2,2,1,1.0,72,0,510,185,0,1.0,8
349,50984,2,1,1,3.0,58,0,555,60,190,1.0,7
350,50984,2,2,1,3.0,58,480,515,72,0,1.0,7
351,50986,1,1,1,2.0,55,0,470,70,0,1.0,7
352,50986,1,2,1,2.0,55,0,480,93,0,1.0,7
353,50990,2,1,2,1.0,20,0,690,0,0,1.0,3
354,50990,2,2,2,1.0,20,0,730,41,60,1.0,3
355,51001,1,1,1,1.0,67,0,590,90,0,2.0,8
356,51001,1,2,1,1.0,67,0,550,82,156,2.0,8
357,51005,1,1,2,1.0,28,0,640,0,0,1.0,4
358,51005,1,2,2,1.0,28,0,580,0,0,1.0,4
359,51006,1,1,2,1.0,65,450,360,50,0,1.0,8
360,51006,1,2,2,1.0,65,0,590,72,120,1.0,8
361,51007,2,1,2,1.0,39,240,290,20,0,1.0,5
362,51007,2,2,2,1.0,39,0,570,62,180,1.0,5
363,51017,2,1,1,1.0,60,0,570,0,130,2.0,7
364,51017,2,2,1,1.0,60,450,430,21,144,2.0,7
365,51027,1,1,2,1.0,64,0,540,110,0,1.0,7
366,51027,1,2,2,1.0,64,0,560,52,0,1.0,7
367,51034,1,1,2,3.0,40,0,515,70,0,1.0,5
368,51034,1,2,2,3.0,40,0,445,175,144,1.0,5
369,51040,1,1,1,2.0,45,0,650,70,0,1.0,6
370,51040,1,2,1,2.0,45,660,510,72,0,1.0,6
373,51056,2,1,2,2.0,43,440,470,30,0,1.0,5
374,51056,2,2,2,2.0,43,0,590,62,96,1.0,5
375,51060,1,1,2,1.0,30,0,590,0,90,1.0,4
376,51060,1,2,2,1.0,30,240,430,62,0,1.0,4
377,51067,2,1,2,1.0,82,0,350,30,120,1.0,9
378,51067,2,2,2,1.0,82,0,540,103,0,1.0,9
383,51090,1,1,2,1.0,52,500,450,30,0,2.0,6
384,51090,1,2,2,1.0,52,0,530,0,0,2.0,6
385,51095,2,1,1,1.0,49,210,530,90,100,1.0,6
386,51095,2,2,1,1.0,49,350,510,10,0,1.0,6
387,51097,2,1,2,1.0,61,440,470,90,0,1.0,7
388,51097,2,2,2,1.0,61,0,610,0,144,1.0,7
389,51101,1,1,1,2.0,62,280,480,0,0,2.0,7
